run_id,effective_state_dimension,interleg_plv,active_leg_count,frequency_pre_hz,frequency_post_hz,frequency_change_hz,dn_mean_hz,cpg_mean_hz,contact_limb_count,contact_force_peak,scope
A1_tonic_full_s00,4.297978290281239,0.24254761636257172,4,8.759733036707452,8.845604002859185,0.08587096615173273,26.343225479125977,5.524489402770996,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s01,6.638432871545923,0.07455269992351532,5,8.898776418242491,9.006433166547534,0.10765674830504324,26.52865219116211,5.443073749542236,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s02,5.069737495292402,0.15281550586223602,5,9.343715239154616,9.292351679771265,-0.05136355938335058,23.606548309326172,4.8526530265808105,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s03,4.248607916648296,0.10819698125123978,4,8.620689655172413,8.577555396711936,-0.04313425846047636,21.521289825439453,4.07542610168457,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s04,4.759219865872718,0.4341766834259033,4,8.898776418242491,8.9349535382416,0.036177119999109664,26.768295288085938,5.673867702484131,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s05,4.757292621412421,0.057674944400787354,3,8.898776418242491,8.9349535382416,0.036177119999109664,22.871843338012695,4.284047603607178,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s06,4.863485503275367,0.29764845967292786,4,9.03781979977753,8.9349535382416,-0.10286626153592948,24.388389587402344,4.87578010559082,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_full_s07,5.1084102036775745,0.19639527797698975,4,8.481646273637374,8.666904932094353,0.18525865845697886,24.918170928955078,5.113833427429199,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_no_cpg_s00,1.0007087086798512,,0,,,,26.177139282226562,0.0,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_no_cpg_s01,1.0017014086868492,,0,,,,26.377979278564453,0.0,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
A1_tonic_no_cpg_s02,1.000550957951924,,0,,,,23.4742488861084,0.0,0,0.0,descriptive model-only metrics; phase absent for inactive limbs
